               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.023201,            0.005879,           0.0010279,             0.98021,             0.79579,              0.8229,              0.6707,            0.026907,           0.0039296,          0.00076955,            0.004852,            0.004852,            0.004852
                  54,            0.023077,            0.005841,          0.00089241,             0.95476,             0.80766,             0.82155,             0.66125,            0.027918,           0.0040908,          0.00056893,            0.004753,            0.004753,            0.004753
                  55,            0.022167,           0.0053687,          0.00094091,             0.98821,             0.79646,             0.81917,             0.65433,            0.029052,           0.0041878,           0.0005692,            0.004654,            0.004654,            0.004654
                  56,            0.021749,           0.0054711,           0.0010832,             0.98154,             0.79036,               0.819,             0.67149,            0.027777,           0.0039819,          0.00059319,            0.004555,            0.004555,            0.004555
                  57,            0.020901,           0.0052511,           0.0012834,             0.92085,             0.82022,             0.82579,             0.65875,            0.028535,           0.0041038,          0.00056088,            0.004456,            0.004456,            0.004456
                  58,             0.02181,            0.005761,          0.00097672,             0.99937,             0.80422,             0.82499,             0.67063,            0.028514,           0.0040665,          0.00051161,            0.004357,            0.004357,            0.004357
                  59,            0.021396,           0.0058195,          0.00080741,              0.9905,             0.79736,             0.81889,             0.68282,            0.026733,           0.0040264,          0.00046984,            0.004258,            0.004258,            0.004258
                  60,            0.021561,           0.0054562,          0.00090916,             0.97758,             0.80029,             0.82101,             0.65982,            0.028015,           0.0041579,          0.00053346,            0.004159,            0.004159,            0.004159
                  61,            0.021003,           0.0055918,            0.001456,                   1,             0.80251,             0.82551,             0.67681,            0.027546,           0.0041203,          0.00068088,             0.00406,             0.00406,             0.00406
                  62,            0.021048,           0.0056103,           0.0018227,             0.98891,             0.79234,             0.80711,             0.66239,            0.026599,           0.0041779,          0.00058654,            0.003961,            0.003961,            0.003961
                  63,            0.021465,           0.0056113,          0.00087789,             0.99288,             0.79398,             0.81329,             0.66915,            0.027483,           0.0038986,          0.00052305,            0.003862,            0.003862,            0.003862
                  64,            0.020325,           0.0055025,           0.0014374,             0.97721,             0.79848,             0.82377,             0.67504,            0.027514,           0.0040359,          0.00048754,            0.003763,            0.003763,            0.003763
                  65,            0.019871,           0.0052212,          0.00070399,             0.97826,             0.79516,             0.82505,             0.67484,            0.026882,           0.0041041,          0.00045507,            0.003664,            0.003664,            0.003664
                  66,            0.020658,           0.0059486,            0.001238,             0.98042,              0.7899,             0.82574,              0.6783,            0.026609,           0.0040052,           0.0011569,            0.003565,            0.003565,            0.003565
                  67,            0.019581,            0.005384,          0.00077364,             0.98853,             0.79232,             0.82901,             0.67509,            0.027303,           0.0039624,          0.00077408,            0.003466,            0.003466,            0.003466
                  68,            0.020197,           0.0055462,          0.00067864,             0.99591,             0.80477,             0.82922,             0.67665,            0.027126,           0.0039853,          0.00041437,            0.003367,            0.003367,            0.003367
                  69,            0.019412,           0.0051374,          0.00053046,             0.94585,             0.80766,             0.82463,             0.67129,            0.026831,           0.0039931,          0.00039491,            0.003268,            0.003268,            0.003268
                  70,            0.019485,           0.0057031,          0.00096156,             0.97202,             0.80766,             0.82758,             0.68475,             0.02643,            0.003986,          0.00036065,            0.003169,            0.003169,            0.003169
                  71,             0.01873,           0.0051899,          0.00063864,             0.99949,             0.80608,             0.82765,             0.67747,            0.027644,           0.0040508,          0.00040148,             0.00307,             0.00307,             0.00307
                  72,            0.019779,           0.0050683,          0.00074836,             0.95964,             0.80311,             0.82879,             0.67709,            0.027838,           0.0040121,           0.0004248,            0.002971,            0.002971,            0.002971
                  73,            0.018165,           0.0053637,          0.00068882,             0.98723,             0.79688,             0.82645,             0.68727,            0.026426,           0.0040516,          0.00038275,            0.002872,            0.002872,            0.002872
                  74,            0.018286,           0.0051396,          0.00041393,             0.91529,             0.81747,             0.82829,             0.68745,            0.027495,           0.0039589,          0.00035192,            0.002773,            0.002773,            0.002773
                  75,            0.018141,           0.0053044,          0.00062836,              0.9678,             0.80766,             0.82575,             0.68694,            0.026382,            0.003947,          0.00033065,            0.002674,            0.002674,            0.002674
                  76,            0.017948,           0.0050048,          0.00072335,             0.97106,             0.80766,             0.82772,             0.67818,            0.025682,           0.0040019,          0.00031252,            0.002575,            0.002575,            0.002575
                  77,            0.017022,           0.0049261,           0.0011169,             0.99887,             0.80687,             0.82988,             0.68841,            0.025737,           0.0040869,          0.00031445,            0.002476,            0.002476,            0.002476
                  78,            0.017994,            0.005032,          0.00097831,             0.99286,             0.80766,             0.82538,             0.69032,            0.024786,            0.004109,          0.00033036,            0.002377,            0.002377,            0.002377
                  79,            0.016358,           0.0049342,          0.00064514,             0.95877,             0.81747,             0.83337,             0.68938,            0.026166,           0.0040768,          0.00032158,            0.002278,            0.002278,            0.002278
                  80,            0.016911,           0.0049108,          0.00086781,             0.96275,             0.81747,             0.82896,             0.69771,            0.025465,            0.004081,          0.00031481,            0.002179,            0.002179,            0.002179
                  81,            0.016833,           0.0048137,           0.0005231,             0.99609,             0.80766,             0.83249,             0.70194,            0.025032,           0.0040183,          0.00031058,             0.00208,             0.00208,             0.00208
                  82,            0.016921,           0.0048585,          0.00061293,             0.99243,             0.80766,             0.83442,             0.70559,            0.025456,           0.0039617,          0.00027997,            0.001981,            0.001981,            0.001981
                  83,            0.016788,           0.0048785,          0.00051197,             0.99959,             0.80746,             0.83853,               0.694,            0.025574,           0.0039121,          0.00026127,            0.001882,            0.001882,            0.001882
                  84,            0.016484,           0.0049888,          0.00069008,              0.9587,             0.80766,             0.83572,             0.70366,            0.024813,           0.0039962,           0.0002653,            0.001783,            0.001783,            0.001783
                  85,            0.017061,           0.0051215,           0.0011463,             0.99967,             0.80611,             0.83507,             0.69669,             0.02572,           0.0039679,          0.00025553,            0.001684,            0.001684,            0.001684
                  86,            0.016412,           0.0047673,          0.00042712,             0.97902,             0.79423,             0.83637,             0.70372,            0.025764,           0.0039147,          0.00024606,            0.001585,            0.001585,            0.001585
                  87,            0.016278,           0.0046596,          0.00041286,             0.97665,             0.79329,              0.8344,             0.70649,            0.025515,           0.0038865,          0.00024385,            0.001486,            0.001486,            0.001486
                  88,            0.016051,           0.0046326,           0.0005739,             0.98387,             0.79095,             0.83374,             0.70019,            0.025492,           0.0039282,          0.00023883,            0.001387,            0.001387,            0.001387
                  89,            0.015297,           0.0045049,            0.000725,              0.9166,             0.81672,             0.83144,             0.69538,            0.025433,           0.0039969,          0.00023445,            0.001288,            0.001288,            0.001288
                  90,            0.015871,           0.0047759,          0.00055181,             0.89792,             0.82727,             0.83299,             0.70015,            0.025247,           0.0039474,          0.00022358,            0.001189,            0.001189,            0.001189
                  91,             0.01599,           0.0046207,          0.00047733,              0.9842,             0.79567,             0.83335,             0.70096,              0.0254,           0.0038897,          0.00021499,             0.00109,             0.00109,             0.00109
                  92,            0.014069,           0.0044229,          0.00039503,             0.98705,             0.79786,             0.83326,             0.71086,             0.02517,           0.0038895,          0.00020431,            0.000991,            0.000991,            0.000991
                  93,            0.015248,           0.0043955,          0.00044477,             0.98025,             0.79786,             0.83643,             0.71136,             0.02502,           0.0039291,          0.00020308,            0.000892,            0.000892,            0.000892
                  94,            0.015186,           0.0045764,          0.00050232,             0.99974,              0.8067,             0.83749,             0.71285,            0.024827,           0.0039629,          0.00019799,            0.000793,            0.000793,            0.000793
                  95,            0.014907,           0.0045872,          0.00047897,             0.99635,             0.80766,             0.83799,             0.71101,            0.024444,           0.0039627,          0.00019999,            0.000694,            0.000694,            0.000694
                  96,            0.014535,           0.0045384,          0.00054634,             0.99462,             0.80766,             0.83802,             0.71656,            0.024415,            0.003942,          0.00019975,            0.000595,            0.000595,            0.000595
                  97,             0.01475,           0.0046377,          0.00041143,             0.98109,              0.8071,             0.83759,             0.71482,            0.024593,           0.0039475,          0.00019364,            0.000496,            0.000496,            0.000496
                  98,            0.014366,           0.0043724,          0.00040198,             0.97968,             0.80766,             0.83806,             0.70986,             0.02458,           0.0039414,          0.00019515,            0.000397,            0.000397,            0.000397
                  99,            0.014317,           0.0044723,          0.00058605,             0.98127,             0.80766,             0.83745,             0.71083,            0.024888,           0.0039466,          0.00018751,            0.000298,            0.000298,            0.000298
